['c+', '*', '*', 'a+', '*', 'r+', '*', '*'] RRD RRD
['*', '*', '*', 'a+', '-', '*', 'c+', '*'] LDD LDD
['*', '*', 'c+', 't+', '*', '*', 't+', 'd+'] RUU RUU
['*', 'p+', 'r+', 't+', '*', '-', '*', '-'] LLD LLD
['*', '*', 'r+', 'a+', '*', 'd+', '*', 'd+'] LLD LLD
['*', '*', 'd+', '*', '*', '*', 'p+', 'd+'] RUU RUU
['*', 'a+', 'p+', 'p+', 'd+', '*', 'c+', 'p+'] RDD RDD
['*', '-', 'd+', '-', 'p+', '*', '*', 'd+'] RUU RUU
['r+', 'p+', 't+', 'p+', 'd+', 'c+', '*', 'r+'] RUU RUU
['-', '*', 'c+', 'd+', '*', 't+', '*', '-'] LDD LDD
['*', '*', '*', '*', 'a+', 'd+', '*', 'r+'] RUU RUU
['r+', '-', 'r+', 'a+', '-', '*', 't+', 'a+'] LLD LLD
['p+', '*', 'p+', 'a+', '*', '*', 'a+', 't+'] RUU RUU
['*', 'a+', 'a+', 'c+', '-', '*', '*', 'r+'] RUU RUU
['*', '*', '*', '*', '*', '*', '*', 't+'] RUU RUU
['*', 't+', '*', 'a+', '*', '*', 'a+', 'd+'] RUU RUU
['*', '*', '*', 'c+', '*', '*', '*', 't+'] RUU RUU
['-', '*', 't+', 'c+', '*', '*', '*', '*'] LLD LLD
['d+', 't+', '*', 'a+', 'c+', 'd+', '*', 'r+'] RUU RUU
['*', '*', '*', 'c+', '*', '-', '*', '*'] LDD LDD
['*', 'c+', 'd+', '-', '*', 'p+', 'd+', '-'] RRU RRU
['a+', '*', '*', '*', '*', '*', 'c+', '*'] LUU LUU
['a+', '*', '*', 't+', '-', '*', '-', 'c+'] LDD LDD
['*', '*', 'p+', '-', 'r+', '*', '*', 't+'] RDD RDD
['*', 't+', 'd+', '*', '*', '*', 'c+', '*'] LLD LLD
['*', 'c+', 'p+', 'p+', 'c+', '*', '*', '*'] RDD RDD
['p+', 'p+', '*', '*', '*', '*', '*', '*'] LLU LLU
['t+', 'd+', '*', '*', '*', '*', '*', '*'] LLU LLU
['r+', '-', 'c+', 'c+', 'p+', '*', '*', '-'] LUU LUU
['t+', '*', '*', '*', '*', 'c+', '*', '*'] LUU LUU
['*', 'a+', '*', 'r+', 'r+', '-', 'r+', 't+'] RRU RRU
['*', 'd+', '-', 'r+', 'r+', '-', '*', '-'] RDD RDD
['c+', '-', 'r+', 'r+', 'r+', 't+', '*', 'c+'] RDD RDD
['d+', 't+', '*', '*', 'r+', '*', 'p+', 'a+'] RDD RDD
['-', 'r+', '-', 'a+', '*', '*', '*', 't+'] LLU LLU
['*', 'd+', '*', '*', '*', 'a+', '*', 't+'] LLU LLU
['c+', '*', '*', 'd+', '*', '*', '*', '*'] LDD LDD
['*', '*', 'r+', 'p+', 'r+', '*', '*', 't+'] RDD RDD
['a+', 'p+', 'p+', 'a+', '*', '*', 'c+', 'd+'] RUU RUU
['*', '*', 'r+', '*', 'r+', '-', '*', '*'] RDD RDD
['d+', '*', '*', 't+', 'd+', '*', '*', '*'] RDD RDD
['a+', 'p+', 'd+', '*', '*', 'a+', '-', 'p+'] LLD LLD
['p+', '*', 'c+', '*', 'c+', '*', 'r+', '*'] RRU RRU
['c+', '*', '*', 'd+', '-', 'c+', 'c+', '*'] LDD LDD
['c+', '-', '*', '*', '*', 'r+', 'c+', 'a+'] RRD RRD
['*', '*', 'd+', '*', 'c+', '*', 'a+', 'p+'] LLD LLD
['*', 'c+', 'p+', 'a+', 'd+', 'p+', '*', '*'] RDD RDD
['*', 't+', '*', '*', 'c+', 'c+', '*', '*'] LLU LLU
['r+', 'p+', '*', 'd+', 'c+', 'd+', '*', 'a+'] LUU LUU
['t+', '*', '*', '*', 't+', '*', '*', '-'] RDD RDD
['r+', '*', '*', 'p+', '*', '*', '*', '*'] LUU LUU
['c+', '*', '*', '*', '*', 'r+', '*', '*'] RRD RRD
['a+', '*', 't+', 'r+', 'd+', '*', 'c+', 'c+'] LDD LDD
['*', '*', '-', 'r+', '-', 'p+', '*', '*'] LDD LDD
['t+', 'a+', '-', '*', 'c+', '*', '*', '*'] LUU LUU
['c+', 'd+', '*', 'a+', '*', '*', '*', 'd+'] RUU RUU
['*', '-', 'a+', 'a+', '*', 'a+', 'a+', '*'] RRU RRU
['r+', 't+', '*', '*', 'r+', 'a+', '*', 't+'] RDD RDD
['*', 'p+', '*', '*', 'a+', '*', 'd+', '-'] RRU RRU
['*', 'd+', 'a+', '*', '*', 'p+', '*', '*'] LLU LLU
['*', '*', '*', 'p+', '*', '*', '*', '*'] LDD LDD
['a+', '*', 't+', '*', '*', 'c+', 'c+', '*'] LLD LLD
['d+', 'p+', 't+', '-', '*', 't+', 'p+', '*'] LUU LUU
['d+', '-', 'r+', '*', '*', '*', 'd+', 'a+'] LLD LLD
['d+', '-', '*', '*', 'r+', '*', '*', '*'] RDD RDD
['*', '*', '*', '*', 't+', 'r+', '*', '*'] RRD RRD
['*', 'd+', '*', '*', 'p+', '-', 'd+', 'p+'] RRU RRU
['c+', '-', 'd+', '*', '*', '-', '*', 'p+'] LLD LLD
['*', 'c+', '*', '*', '*', '-', '*', 't+'] RUU RUU
['a+', '*', 'a+', 't+', '*', '*', '*', '*'] LDD LDD
['a+', '*', 't+', '*', 'r+', '*', 'd+', 'r+'] RUU RUU
['*', 'p+', '*', '*', '*', '-', '*', 'p+'] RUU LLU
['*', '*', 'p+', '-', '*', 'c+', '*', 't+'] RUU RUU
['*', 'c+', '*', 'c+', '*', '*', '*', 'd+'] RUU RUU
['*', 'c+', '*', '*', 'a+', '*', '*', 'p+'] RDD RDD
['r+', '*', '*', 'c+', 'p+', '*', '-', '*'] LUU LUU
['t+', 't+', 'p+', '*', 'a+', 'c+', '*', '*'] LLU LLU
['*', '*', 'd+', 'r+', '*', 'r+', 'c+', '*'] RRD RRD
['*', '*', 'c+', '*', 'a+', 'r+', '-', 'p+'] RRD RRD
['*', '*', '*', 't+', 'd+', '*', 'a+', '-'] RDD RDD
['*', 'p+', 'p+', 'r+', '*', '*', 't+', '*'] LDD LDD
['-', 'r+', 'a+', 'c+', '-', '*', 't+', 'd+'] LLU LLU
['a+', '*', '*', '*', '*', 'r+', '-', 'd+'] RRD RRD
['-', '*', '-', 't+', '*', '*', '-', '*'] LDD LDD
['*', '*', '*', '*', '-', 't+', 'd+', 'c+'] RRU RRU
['t+', 't+', '*', 'd+', '*', '*', '*', 't+'] LDD LDD
['*', '*', '*', '*', '*', '*', 'c+', 'd+'] RUU RUU
['p+', '*', '-', '*', 'd+', 'd+', 'c+', '*'] RRD RRD
['d+', 'c+', '*', '*', 'r+', '*', '*', 'r+'] RUU RUU
['*', '*', 'r+', '*', 'c+', 'p+', '-', '*'] LLD LLD
['*', '*', 'r+', '*', '*', 'd+', 'p+', '*'] LLD LLD
['d+', 'a+', '*', 'a+', 'r+', '*', '-', 'p+'] RDD RDD
['*', '*', '*', '*', '*', '*', '*', 'p+'] RUU RUU
['p+', '*', '*', '*', 'r+', 'c+', '*', 'c+'] RDD RDD
['*', '*', 'r+', '*', 't+', 'r+', 'c+', '*'] RRD RRD
['d+', '*', 'r+', '-', 'c+', 't+', 'p+', 't+'] LLD LLD
['-', 'c+', 'c+', '*', 'a+', '*', '*', '-'] RDD RDD
['t+', 't+', 'c+', 'd+', '*', 'r+', 'p+', '-'] RRD RRD
['d+', '*', 'a+', '*', '*', '*', 'r+', '*'] RRU RRU
['a+', 'a+', '-', '*', 'a+', '-', '*', 't+'] RUU RUU
['r+', 'r+', '*', 'p+', 'p+', '*', 'd+', 'c+'] LLU LLU
['*', '*', 'c+', '*', '-', 't+', '-', '*'] RRD RRD
['*', 'p+', 'r+', '-', 't+', '*', 't+', '*'] LLD LLD
['*', '*', 'p+', 'p+', 'a+', '*', '-', '*'] RDD RDD
['*', '*', '*', 'p+', 'p+', '*', 't+', 'r+'] RUU RUU
['*', 'd+', 'r+', 'r+', '*', 'a+', 'r+', '*'] RRU RRU
['p+', 'c+', 't+', '*', '*', '*', 'r+', '*'] RRU RRU
['c+', '*', 'r+', '*', '*', '*', 't+', '*'] LLD LLD
['*', 'p+', '*', 't+', 't+', '*', '*', '*'] RDD RDD
['p+', 'a+', 'a+', '-', '*', '*', 'c+', '*'] LLD LLD
['*', 'p+', '*', 'r+', 'd+', 'r+', '*', 'a+'] RRD RRD
['p+', 'd+', 'a+', 'c+', '*', 't+', '*', '*'] LLU LLU
['*', 'a+', 'd+', '-', '*', '*', '*', 'd+'] RUU RUU
['c+', 'r+', '*', '*', 't+', '*', '*', 'r+'] RUU RUU
['d+', 't+', '*', '*', 't+', '*', 'a+', 'p+'] LUU LUU
['t+', '*', '*', '*', '*', '-', 'a+', '-'] LUU LUU
['*', 'r+', '*', 'd+', '*', '*', '*', '*'] LLU LLU
['-', 'r+', '*', '*', '*', 'c+', 't+', '*'] LLU LLU
['*', 'p+', '*', 't+', '*', '*', '*', 'd+'] RUU RUU
['*', '*', '*', 'p+', '-', '*', 'a+', 'r+'] RUU RUU
['t+', '*', '*', 'p+', 'a+', '*', '*', 'r+'] RUU RUU
['*', '*', '*', 'r+', '*', '*', '*', '*'] LDD LDD
['*', '*', 'r+', 'r+', 'c+', 'p+', '*', 'a+'] LDD LDD
['*', 'r+', 'c+', '*', 'p+', 'c+', '*', '*'] LLU LLU
['*', 'd+', 'd+', 't+', '-', '*', 'a+', 'd+'] RUU RUU
['a+', 'r+', '*', 'a+', '-', '*', '*', 'r+'] RUU RUU
['*', '*', 'a+', '*', '*', '*', '*', 't+'] RUU RUU
['t+', 't+', '*', 'p+', 'r+', '*', 'a+', 't+'] RDD RDD
['p+', '*', '*', '*', '*', '*', '*', 'r+'] RUU RUU
['t+', '*', '-', '-', '*', '*', '*', 't+'] RUU RUU
['*', '-', 'c+', 'd+', 't+', '*', '*', '*'] LDD LDD
['d+', 'r+', 'p+', 'd+', '*', '*', 'c+', '*'] LLU LLU
['*', 't+', 'c+', '*', '*', '*', '*', 'p+'] LLU LLU
['r+', 't+', '*', 'd+', '*', '*', 't+', 'd+'] LUU LUU
['r+', '-', 'a+', '*', 'r+', '*', '*', '*'] RDD RDD
['d+', 't+', 't+', 'd+', '*', 'a+', 't+', '*'] LDD LDD
['*', 't+', '*', 't+', '*', 'p+', '*', '-'] LDD LDD
['*', 'd+', '*', '*', '*', '*', '*', '*'] LLU LLU
['*', '-', '-', 'r+', '*', '*', '*', '-'] LDD LDD
['-', '*', 'r+', '*', 'r+', '*', '-', '*'] RDD RDD
['-', '-', '*', '-', '-', '*', 'c+', '*'] RRU RRU
['r+', 'd+', 'c+', '*', '*', 'a+', '*', 't+'] LUU LUU
['r+', '*', 'd+', '*', '*', 't+', 'c+', 't+'] LUU LUU
['a+', '*', '*', 'r+', 'a+', '*', '*', 'p+'] LDD LDD
['*', '*', '*', '-', 'c+', '*', '*', '*'] RDD RDD
['t+', '*', '*', '-', '*', 'p+', '*', '*'] LUU LUU
['a+', 'r+', '*', '*', '*', 'c+', 'a+', '*'] LLU LLU
['t+', 'c+', 'd+', '-', 'a+', '*', '*', 'd+'] RUU RUU
['*', '*', 'c+', '*', '*', '-', '*', '-'] LLD LLD
['t+', 'a+', '-', 'd+', 't+', '*', '*', '*'] LDD LDD
['a+', '-', '*', 'r+', 'p+', '*', '*', '-'] LDD LDD
['*', 'p+', '*', '*', 'p+', '*', '*', 'p+'] RUU LLU
['p+', 'd+', 'd+', '-', 'a+', 'a+', '-', 'r+'] RUU RUU
['*', 'd+', '*', 'd+', 'd+', 'd+', '-', '*'] RRD RRD
['*', '*', '*', '*', '*', 'r+', 'a+', '*'] RRD RRD
['a+', 'p+', 'a+', 'd+', 'r+', '*', '*', '*'] RDD RDD
['c+', '*', '*', '*', '*', '*', '*', 'p+'] LUU LUU
['-', '*', 't+', '*', '*', '*', 't+', '*'] RRU RRU
['t+', '*', 't+', 'a+', '*', 't+', '*', 'a+'] RRD RRD
['*', 't+', 'd+', '*', 'p+', '-', '*', 'a+'] LLD LLD
['*', 'c+', '*', '*', '*', '*', '*', 'a+'] RUU RUU
['-', '*', 'a+', '*', '*', '*', '*', '*'] LLD LLD
['*', '*', '*', '*', '*', 'c+', 'r+', '-'] RRU RRU
['*', '-', '*', '-', '*', 'c+', 'p+', '*'] RRD RRD
['t+', 'd+', 'c+', '*', '*', 'd+', '-', 'a+'] RRD RRD
['*', 't+', 'p+', '*', '*', '*', '*', 't+'] RUU RUU
['*', '*', 'p+', 't+', 'a+', 'a+', '*', '-'] LDD LDD
['*', 't+', 'c+', 'd+', '*', 't+', '*', 'c+'] LDD LDD
['*', '*', 't+', 'c+', '*', '*', '*', 'r+'] RUU RUU
['r+', 'r+', '*', '-', '*', '*', 't+', 'c+'] LLU LLU
['*', '*', 'r+', 'c+', 'c+', '*', '-', 'a+'] LLD LLD
['*', '*', 'a+', '*', '*', '*', 't+', '-'] RRU RRU
['p+', '*', '*', '*', 'p+', '*', '*', '*'] RDD RDD
['a+', '*', '*', '*', '*', 'c+', '*', 't+'] RUU RUU
['a+', 'c+', 'c+', 'r+', '*', '*', '-', '*'] LDD LDD
['*', 'a+', 'r+', 'r+', '*', '*', '*', 'c+'] LDD LDD
['*', '*', 'c+', '*', '*', '*', '*', '*'] LLD LLD
['t+', '*', 'r+', 'c+', 'r+', '*', 'c+', '*'] RDD RDD
['p+', 'r+', '*', 'p+', 't+', 'a+', '*', '*'] LLU LLU
['*', '*', '*', 'c+', 'c+', 'p+', 'd+', 'p+'] RRU RRU
['a+', 'r+', '*', 'a+', 'd+', '-', '*', 'r+'] RUU RUU
['*', '*', 't+', 'p+', '*', 'd+', 'd+', 'p+'] RRU RRU
['*', 'p+', 'p+', '*', 'p+', '*', '*', '*'] RDD LLU
['*', '*', 't+', 'r+', '*', '*', '*', 'd+'] LDD LDD
['t+', '*', 'c+', '-', '*', '*', '*', 'd+'] RUU RUU
['*', 'c+', '*', '*', '*', '*', '-', '*'] LLU LLU
['*', '*', '*', 'p+', 'p+', 'a+', '*', 'r+'] RUU RUU
['*', 'r+', '*', '*', '*', '*', '*', '*'] LLU LLU
['*', 'd+', 'd+', '*', 'r+', '*', 'c+', '*'] RDD RDD
['*', 'a+', '*', 'd+', '*', 'r+', 'p+', '*'] RRD RRD
['*', 'a+', '-', '*', '*', 'c+', 'p+', 't+'] RUU RUU
['d+', 'c+', '*', '*', 'a+', 'a+', '-', '*'] LUU LUU
['d+', '-', '*', 't+', '*', '*', '*', '*'] LUU LUU
['*', 'r+', 'r+', '*', 'c+', '*', 'c+', 'a+'] LLD LLD
['t+', 'r+', 'd+', '-', 'p+', '*', '*', '*'] LLU LLU
['t+', '*', 't+', 'd+', '-', 'c+', '*', '-'] LDD LDD
['p+', '*', '*', 'c+', 'r+', '*', 'r+', '-'] RRU RRU
['*', '*', 'a+', 't+', '*', '*', '*', 'p+'] LDD LDD
['-', '-', '*', 'c+', '*', '*', '*', '*'] LDD LDD
['r+', '*', '*', 't+', 'a+', '*', '*', 'a+'] LUU LUU
['-', 'c+', '-', '*', '*', '*', 'd+', 'c+'] RRU RRU
['-', 'd+', 'c+', 'c+', 't+', 'd+', '*', 'r+'] RUU RUU
['*', '*', '*', '*', 't+', '*', '*', '*'] RDD RDD
['*', '*', 'a+', '*', '*', 'd+', '*', '*'] RRD RRD
['*', 'p+', '*', '*', '*', 'a+', '*', 'p+'] RRD RRD
['t+', 'c+', 'd+', 'd+', '*', '*', '*', 'c+'] LDD LDD
['c+', 'p+', 't+', '*', '*', '*', 'p+', 'r+'] RUU RUU
['c+', '*', '-', 'r+', 'p+', '*', 't+', 'c+'] LDD LDD
['*', '*', '*', '*', '*', '-', '*', '*'] RRD RRD
['d+', 'a+', 'p+', 'r+', 'a+', '*', '*', '*'] LDD LDD
['r+', '*', 'a+', '*', 't+', 'a+', '*', 'd+'] LUU LUU
['*', '*', 't+', '-', '*', '*', 'a+', '*'] LLD LLD
['-', 'c+', '*', '*', '*', 'p+', '*', '*'] LLU LLU
['-', 'a+', '*', 't+', 'r+', 'd+', 'd+', '-'] RDD RDD
['*', 'p+', '*', 'c+', '*', '*', '*', 'a+'] RUU RUU
['c+', 'r+', '*', 't+', 'd+', 'a+', '*', '*'] LLU LLU
['d+', 't+', '*', 'r+', '*', '*', 'a+', '*'] LDD LDD
['d+', '*', '*', '*', '*', 'd+', '*', '*'] RRD RRD
['*', '-', 'p+', 't+', '*', '*', '*', 'c+'] LDD LDD
['*', '*', '*', 'd+', '*', '*', 'd+', '*'] RRU RRU
['t+', '*', 'd+', 'p+', '*', 't+', 'd+', '*'] RRU RRU
['*', 'd+', 'd+', '*', 'a+', '*', 'd+', '*'] RRU RRU
['d+', '*', '*', '*', 'd+', '*', 'a+', '*'] RDD RDD
['t+', 't+', '-', 'c+', '*', 'r+', 'r+', '*'] RRU RRU
['*', '*', 'a+', '*', 'p+', 'c+', 'c+', 'r+'] RUU RUU
['a+', 'd+', 'p+', '-', '*', 'p+', 'a+', '-'] LLU LLU
['c+', 'd+', 'p+', 'p+', '*', 'd+', 'a+', 't+'] RRD RRD
['-', '*', 'd+', '-', '*', '*', '*', '*'] LLD LLD
['*', 'r+', '-', '*', 'r+', '*', 't+', 'd+'] RDD RDD
['d+', '*', 'c+', '*', 'p+', '*', 't+', '-'] LUU LUU
['*', 'a+', 'p+', '*', '*', '*', 'r+', 'r+'] RUU RUU
['*', 'r+', '*', '*', 'd+', '*', '-', 'd+'] LLU LLU
['*', 'r+', 'c+', 'd+', '*', '*', '*', '*'] LLU LLU
['*', '*', '*', 'r+', 't+', '*', 'p+', '*'] LDD LDD
['*', '*', '*', 'a+', '*', '*', '*', 'd+'] RUU RUU
['a+', 'r+', '*', 'a+', '*', '-', '-', 'd+'] LLU LLU
['*', 'd+', 'c+', '*', 'd+', 'c+', '*', '*'] RDD RDD
['d+', '*', '*', '-', 'c+', '*', '*', 'a+'] LUU LUU
['*', 'r+', '*', 't+', '*', 'p+', '*', '*'] LLU LLU
['*', '*', '*', '*', '*', '*', 'a+', '*'] RRU RRU
['p+', '*', '-', '*', 'a+', '*', 'd+', 'd+'] RUU RUU
['d+', '*', '*', 'd+', '*', 'a+', 'c+', 't+'] LDD LDD
['*', 'd+', '*', 'd+', '*', 'r+', '*', 'a+'] RRD RRD
['c+', 'c+', 't+', 't+', '*', '*', '-', 'r+'] RUU RUU
['r+', '*', '*', 'r+', 'a+', 't+', 't+', 'c+'] LDD LDD
['a+', '*', '*', 'p+', 'a+', 'd+', '*', 'p+'] RRD RRD
['*', '*', 'd+', '*', 't+', 'c+', 't+', '*'] LLD LLD
['c+', 'r+', '*', '-', '*', 'p+', 'd+', 'c+'] LLU LLU
['a+', 'r+', 'a+', '*', '*', '-', 'c+', 'r+'] RUU RUU
['*', 'p+', '*', '*', '*', '*', 'd+', 't+'] RRU RRU
['-', '*', 't+', '*', 'p+', '*', 'p+', '*'] LLD LLD
['p+', 'c+', 'r+', '*', '*', '*', 'd+', '*'] LLD LLD
['c+', '*', '*', '*', '-', '*', '-', 'c+'] RUU RUU
['*', '*', '-', '*', '-', 't+', '*', 'd+'] RUU RUU
['r+', '*', '-', '*', '*', '*', 't+', '*'] LUU LUU
['p+', '-', 'r+', '*', '*', '*', '*', '*'] LLD LLD
['p+', 'a+', '*', 't+', '*', 't+', '-', 't+'] RUU RUU
['-', 'c+', '*', '*', '*', '*', 'd+', 'd+'] RUU RUU
['r+', '-', 'c+', 't+', '*', 'p+', 'r+', 'r+'] RUU RUU
['*', '*', '*', 'c+', 'c+', 'p+', '*', 'c+'] RUU RUU
['t+', '*', '-', '-', 'p+', '*', '*', 'p+'] LUU LUU
['-', 'r+', '*', 'p+', '-', '*', 'c+', 'a+'] LLU LLU
['p+', '*', '-', '*', '*', '*', 'a+', '*'] RRU RRU
['c+', '*', 'c+', '*', 'a+', 'c+', 'a+', '*'] RRU RRU
['c+', '*', 'c+', '-', '*', 't+', '*', '*'] RRD RRD
['a+', '-', '*', 'a+', 'c+', '*', '-', '-'] LDD LDD
['*', 'p+', '*', '*', '*', 'p+', '*', '*'] RRD LLU
['r+', '*', '-', 't+', '*', '*', 'c+', 'c+'] LUU LUU
['*', 't+', 'd+', 'p+', '*', '*', 't+', '*'] LLD LLD
['r+', 'd+', 't+', 'r+', '*', '*', 'r+', '*'] RRU RRU
['*', '*', 't+', 't+', 'a+', '*', '*', 'a+'] LDD LDD
['*', 'd+', '*', '*', '*', '*', '*', 'd+'] RUU RUU
['*', 'd+', '*', '*', '*', 'p+', '*', '*'] LLU LLU
['*', 'd+', '*', '-', '*', '*', '*', 't+'] LLU LLU
['r+', '*', '*', 'r+', '*', 'a+', 'd+', '-'] LDD LDD
['t+', '*', '*', '*', 't+', 'c+', '*', 't+'] RUU RUU
['*', '*', '*', '*', '*', 'c+', '*', '*'] RRD RRD
['a+', 'p+', 'r+', '*', '*', '*', '*', '-'] LLD LLD
